club,club_short,player_id,web_name,position,expected_role,p_start,p_sub_in,p_dnp,mins_if_start,mins_if_sub,override,confidence,conflict_rule,draft_eligible,reason,sources,source_refs,api_status,api_chance_of_playing_next_round,api_chance_of_playing_this_round,api_news,api_news_added,api_club_id,api_club_short,registration_status,registration_reason,availability_status,availability_override,availability_confidence,draft_availability,availability_reason,availability_sources,availability_source_refs
Arsenal,ARS,1,Raya,GKP,Nailed Starter,0.9,0.05,0.05,85,20,False,high,none,True,Meerkat green and Scout predicted XI both lock Raya as Arsenal No.1 for GW1-5.,meerkat_nailed|scout_xi,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
Arsenal,ARS,4,Gabriel,DEF,Nailed Starter,0.9,0.05,0.05,85,20,False,high,none,True,Meerkat green CB and Scout XI starter; remains the defensive constant with Saliba injured.,meerkat_nailed|scout_xi,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
Arsenal,ARS,6,Saliba,DEF,Nailed Starter,0.9,0.05,0.05,85,20,False,medium,none,True,"Fit role remains nailed CB; API lists back injury with unknown return, so Mosquera covers until available.",api_status|meerkat_nailed,data/processed/players.parquet;https://fpl.page/article/fpl-gw1-predicted-lineups-2627,i,0.0,,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,1,ARS,aligned,,unavailable,out_gw1-5_pending_return,high_gw1_medium_gw1-5,exclude_gw1-5,Arsenal medical update confirms back injury requiring rehabilitation and an extended period out; no return date.,api_status|official_arsenal,data/processed/players.parquet;https://www.arsenal.com/news/medical-update-william-saliba-aVUca3q2han2
Arsenal,ARS,5,J.Timber,DEF,Regular Starter,0.75,0.1,0.15,80,20,False,medium,nailed_vs_regular->regular,True,Meerkat greens Timber but Scout XI starts White at RB; demoted on conflict. API groin injury expected back 21 Aug — keep fit role.,meerkat_nailed|scout_xi|api_status,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news;data/processed/players.parquet,i,0.0,,Groin injury - Expected back 21 Aug,2026-07-23T12:01:23.272929Z,1,ARS,aligned,,unavailable,api_unavailable_gw1,high,exclude_gw1,Groin injury - Expected back 21 Aug,api_status,data/processed/players.parquet
Arsenal,ARS,13,Rice,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,nailed_vs_regular->regular,True,Meerkat greens Rice but Scout midfield is Ødegaard/Zubimendi/Eze without him; conflict demotes to Regular.,meerkat_nailed|scout_xi,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
Arsenal,ARS,12,Saka,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,nailed_vs_regular->regular,True,Meerkat greens Saka while Scout XI starts Madueke on the right; conflict demotes to Regular for GW1-5.,meerkat_nailed|scout_xi,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,late_return,late_world_cup_return_gw1,medium_high,watch,"England World Cup bronze-match starter; reported earliest Arsenal return around 10 Aug leaves short runway before 21 Aug opener, with Achilles management still to assess. Role unchanged when fit.",official_england|england_squad|standard,https://www.englandfootball.com/articles/2026/Jul/18/bukayo-saka-france-v-england-world-cup-third-place-playoff-match-reaction-20261807;https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205;https://www.standard.co.uk/sport/football/arsenal-fc-preseason-rice-saka-b1291054.html
Arsenal,ARS,10,White,DEF,Regular Starter,0.75,0.1,0.15,80,20,False,medium,none,True,Scout predicted RB starter; not Meerkat green. API knee injury expected back 21 Aug — role kept when fit.,scout_xi|api_status,https://www.fantasyfootballscout.co.uk/team-news;data/processed/players.parquet,i,0.0,,Knee injury - Expected back 21 Aug,2026-07-23T12:01:23.305229Z,1,ARS,aligned,,conflicted,api_stale_vs_training,medium,watch,"Local API says 0%/expected back 21 Aug, while newer training reports describe White back in group work; treat as contradiction pending fresh official team news.",api_status|official_arsenal_team_news|white_training_report,data/processed/players.parquet;https://www.arsenal.com/news/team-news-gyokeres-in-squad-for-hong-kong-nld-a32nL0W6Uspr;https://www.sabcsport.com/soccer/news/ben-white-returns-to-arsenal-training-as-jurrien-timber-targets-comeback
Arsenal,ARS,11,Mosquera,DEF,Regular Starter,0.75,0.1,0.15,80,20,False,medium,none,True,Scout XI CB while Saliba is out; Meerkat explicitly notes Mosquera minutes with Saliba unavailable.,scout_xi|meerkat_nailed,https://www.fantasyfootballscout.co.uk/team-news;https://fpl.page/article/fpl-gw1-predicted-lineups-2627,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
Arsenal,ARS,8,Calafiori,DEF,Regular Starter,0.75,0.1,0.15,80,20,False,medium,none,True,Scout predicted LB/LCB starter; not Meerkat green and faces Hincapie competition on the left.,scout_xi|transfer_note,https://www.fantasyfootballscout.co.uk/team-news;https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
Arsenal,ARS,15,Ødegaard,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,none,True,Scout midfield starter; omitted from Meerkat green so treated as Regular rather than Nailed.,scout_xi,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
