club,left_corner_primary,left_corner_secondary,right_corner_primary,right_corner_secondary,inswinger_preference_pct,notes
Arsenal,Declan Rice,,Bukayo Saka,Noni Madueke,High,Rice took 87 L / 8 R corners in 25/26; Saka/Madueke right-side inswingers
Aston Villa,Matty Cash,,Lucas Digne,John McGinn,High,Austin MacPhee departed to Chelsea; Cash right-footed L corners
Bournemouth,Alex Scott,Justin Kluivert,Marcus Tavernier,David Brooks,96.4,Highest inswinger rate in PL in 25/26
Brentford,Mathias Jensen,Mikkel Damsgaard,Vitaly Janelt,Dango Ouattara,High,Jensen/Damsgaard right-footed on left; Janelt/Ouattara left-footed on right
Brighton,Pascal Groß,Ferdi Kadıoğlu,Maxim De Cuyper,Yankuba Minteh,High,Groß/Kadıoğlu on left; left-footed De Cuyper/Minteh on right
Chelsea,Reece James,Enzo Fernández,Pedro Neto,Estêvão,High,Set-piece coach Austin MacPhee arrived from Aston Villa
Coventry City,Matt Grimes,Victor Torp,Matt Grimes,Jack Rudoni,High,Grimes takes deliveries from both sides; Torp L / Rudoni R
Crystal Palace,Yeremy Pino,Brennan Johnson,Adam Wharton,Will Hughes,High,Yeremy/Johnson right-footed on L; Wharton/Hughes left-footed on R
Everton,James Garner,,Kiernan Dewsbury-Hall,,High,Garner took 100 L / 10 R corners in 25/26; Dewsbury-Hall 43 R / 0 L
Fulham,Saša Lukić,Alex Iwobi,Saša Lukić,Oscar Bobb,High,Lukić features on both flanks; Bobb left-footed option on right
Hull City,Regan Slater,Ryan Giles,Mohamed Belloumi,Ryan Giles,High,Giles left-footed crosser active on both flanks
Ipswich Town,Marcelino Núñez,Jack Clarke,Leif Davis,Marcelino Núñez,High,Davis left-footed specialist from right; Núñez primary right-footed
Leeds United,Anton Stach,,Harry Wilson,Anton Stach,52.0,Stach took corners equally from both flanks in 25/26; Wilson left-footed incoming
Liverpool,Dominik Szoboszlai,Cody Gakpo,Dominik Szoboszlai,Florian Wirtz,High,Szoboszlai took from both sides; Iraola staff arrived from Bournemouth
Manchester City,Rayan Cherki,Elliot Anderson,Phil Foden,Rayan Cherki,High,Foden primary left-footed from right; Cherki dual-flank delivery
Manchester United,Bruno Fernandes,,Bryan Mbeumo,Luke Shaw,High,Fernandes primary right-footed from L; Mbeumo/Shaw left-footed from R
Newcastle United,Bruno Guimarães,Jacob Murphy,Lewis Hall,,High,Guimarães creates shot every 1.9 corners; Hall left-footed from right
Nottingham Forest,Neco Williams,Dan Ndoye,Omari Hutchinson,Callum Hudson-Odoi,High,Williams/Ndoye on left; Hutchinson/Hudson-Odoi on right
Sunderland,Enzo Le Fée,Trai Hume,Granit Xhaka,,High,Le Fée right-footed on left; Xhaka left-footed on right
Tottenham Hotspur,Pedro Porro,Mathys Tel,Mohammed Kudus,Pedro Porro,High,Set-piece coach Andreas Georgson; Porro R-footed / Kudus L-footed
