club,club_short,player_id,web_name,position,expected_role,p_start,p_sub_in,p_dnp,mins_if_start,mins_if_sub,override,confidence,conflict_rule,draft_eligible,reason,sources,source_refs,api_status,api_chance_of_playing_next_round,api_chance_of_playing_this_round,api_news,api_news_added,api_club_id,api_club_short,registration_status,registration_reason,availability_status,availability_override,availability_confidence,draft_availability,availability_reason,availability_sources,availability_source_refs
Arsenal,ARS,1,Raya,GKP,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
Arsenal,ARS,4,Gabriel,DEF,Nailed Starter,0.9,0.05,0.05,85,20,False,high,unanimous_dual_source,True,Unanimous: FFS predicted XI + Meerkat 🟢 nailed.,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
Arsenal,ARS,6,Saliba,DEF,Rotation,0.4,0.25,0.35,70,20,False,medium,source_disagreement_or_single,False,Previously draft-role but absent from current FFS XI and Meerkat nailed list.,FFS Team News; FPL Meerkat,data/processed/players.parquet;https://fpl.page/article/fpl-gw1-predicted-lineups-2627,i,0.0,,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,1,ARS,aligned,,unavailable,out_gw1-5_pending_return,high_gw1_medium_gw1-5,exclude_gw1-5,Back rehabilitation; out early-season band.,Official club / research overlay,data/processed/players.parquet;https://www.arsenal.com/news/medical-update-william-saliba-aVUca3q2han2
Arsenal,ARS,5,J.Timber,DEF,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (Meerkat 🟢 / predicted).,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news;data/processed/players.parquet,i,0.0,,Groin injury - Expected back 21 Aug,2026-07-23T12:01:23.272929Z,1,ARS,aligned,,unavailable,api_unavailable_gw1,high,exclude_gw1,Groin injury - Expected back 21 Aug,api_status,data/processed/players.parquet
Arsenal,ARS,13,Rice,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (Meerkat 🟢 / predicted).,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
Arsenal,ARS,12,Saka,MID,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (Meerkat 🟢 / predicted).,FFS Team News; FPL Meerkat,https://fpl.page/article/fpl-gw1-predicted-lineups-2627;https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,late_return,late_world_cup_return_gw1,medium_high,watch,Post-tournament fitness management.,Official club / research overlay,https://www.englandfootball.com/articles/2026/Jul/18/bukayo-saka-france-v-england-world-cup-third-place-playoff-match-reaction-20261807;https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205;https://www.standard.co.uk/sport/football/arsenal-fc-preseason-rice-saka-b1291054.html
Arsenal,ARS,10,White,DEF,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news;data/processed/players.parquet,a,100.0,,,2026-07-23T12:01:23.305229Z,1,ARS,aligned,,conflicted,api_stale_vs_training,medium,watch,"Local API says 0%/expected back 21 Aug, while newer training reports describe White back in group work; treat as contradiction pending fresh official team news.",api_status|official_arsenal_team_news|white_training_report,data/processed/players.parquet;https://www.arsenal.com/news/team-news-gyokeres-in-squad-for-hong-kong-nld-a32nL0W6Uspr;https://www.sabcsport.com/soccer/news/ben-white-returns-to-arsenal-training-as-jurrien-timber-targets-comeback
Arsenal,ARS,11,Mosquera,DEF,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news;https://fpl.page/article/fpl-gw1-predicted-lineups-2627,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
Arsenal,ARS,8,Calafiori,DEF,Regular Starter,0.75,0.1,0.15,80,20,False,medium,source_disagreement_or_single,True,Single-source or non-unanimous starter signal (FFS predicted XI).,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news;https://www.fantasyfootballscout.co.uk/fpl-2026-27-transfer-news-confirmed-summer-signings,a,,,,,1,ARS,aligned,,available,none,none,eligible,,,
Arsenal,ARS,15,Ødegaard,MID,Rotation,0.4,0.25,0.35,70,20,False,medium,source_disagreement_or_single,False,Previously draft-role but absent from current FFS XI and Meerkat nailed list.,FFS Team News; FPL Meerkat,https://www.fantasyfootballscout.co.uk/team-news,a,,,,,1,ARS,aligned,,available,none,none,not_role_eligible,,,
