player_name,club,position,fpl_cost_26_27,stat_type,stat_value_25_26,solio_projected_ppg_horizon,notes
Bruno Fernandes,Manchester United,MID,12.0,Assists / Set-Piece Assists,21 total assists (PL record) / 11 set-piece assists,6.12 (GW1-6),Equalled Gerrard single-season set-piece assist record; 7 from 1st-time crosses; 2nd highest Solio xP behind Haaland (6.57)
Dominik Szoboszlai,Liverpool,MID,7.0,Direct FK Shots / Goals,14 direct FK shots (1st in PL) / 4 direct FK goals,4.91 (GW1-10),Only Beckham (5) and Robert (5) scored more in a season; corners from both sides; 6th highest Solio projected PPG
Anton Stach,Leeds United,MID,6.0,Direct FK Goals / Pts per Start,3 direct FK goals / 4.9 pts per start,3.63 (GW1-10),Balanced 52% inswinging corners from both sides in 25/26; threatened by Harry Wilson arrival
Harry Wilson,Leeds United,MID,6.5,Pts per Start,5.0 pts per start,3.70 (GW1-10),Left-footed specialist taking over right-side corners from Stach
Declan Rice,Arsenal,MID,6.5,Corners / Indirect FKs / Throw-ins,95 corners (87 L / 8 R) / 130 indirect FKs / 24 box throw-ins,,Led Arsenal across all delivery types; strict left-side specialist under Nicolas Jover
Bruno Guimarães,Arsenal / Newcastle,MID,7.5,Corner Shot Conversion / Penalties,Shot created every 1.9 corners / 2 of 2 penalties,,Highest shot creation rate among ARS/NEW takers with 20+ corners
Igor Thiago,Brentford,FWD,8.0,Goals / Penalties,22 goals (2nd in PL) / 9 penalties (8 scored),Adequate (outscores Isak GW1-10),14 non-penalty goals (João Pedro had 15); penalty volume unsustainable; Solio projects Ndiaye to outscore Thiago
Pascal Struijk,Brighton,DEF,4.5,Crossed Corner First Contacts,19 first contacts (1st in PL) / 16 shots / 0 goals,,Transferred from Leeds to Brighton; highest aerial contact volume
Virgil van Dijk,Liverpool,DEF,6.0,Crossed Corner Goals,4 goals from crossed corner first contacts (1st in PL),,League leader in corner first-contact goal conversion
Gabriel Magalhães,Arsenal,DEF,8.0,Crossed Corner First Contacts,13 first contacts / 8 shots / 1 goal,,Key aerial target under Nicolas Jover routines
Malick Thiaw,Newcastle United,DEF,5.0,Set-Play Expected Goals (xG excl. pen),4.7 xG (1st in PL),,Top Premier League set-play non-penalty xG receiver in 25/26
Casemiro,Manchester United (departed),MID,5.5,Set-Play Expected Goals (xG excl. pen),4.1 xG (2nd in PL),,Departed Man Utd in summer window
Marc Guéhi,Manchester City,DEF,6.0,Set-Play Expected Goals (xG excl. pen),3.7 xG (3rd in PL),,Elite set-play aerial threat for Man City
